"filename", "language", "C++", "comment", "blank", "total"
"/home/alex/Desktop/Nugget-Invader/Attacks.cpp", "C++", 41, 14, 17, 72
"/home/alex/Desktop/Nugget-Invader/Attacks.h", "C++", 24, 1, 15, 40
"/home/alex/Desktop/Nugget-Invader/Buttons.cpp", "C++", 51, 3, 13, 67
"/home/alex/Desktop/Nugget-Invader/Buttons.h", "C++", 18, 0, 6, 24
"/home/alex/Desktop/Nugget-Invader/ESPPL.h", "C++", 325, 38, 33, 396
"/home/alex/Desktop/Nugget-Invader/Graphics.h", "C++", 564, 3, 11, 578
"/home/alex/Desktop/Nugget-Invader/MenuInterface.cpp", "C++", 168, 20, 59, 247
"/home/alex/Desktop/Nugget-Invader/MenuInterface.h", "C++", 52, 5, 29, 86
"/home/alex/Desktop/Nugget-Invader/Monitor.cpp", "C++", 5, 0, 5, 10
"/home/alex/Desktop/Nugget-Invader/Monitor.h", "C++", 8, 0, 4, 12
"/home/alex/Desktop/Nugget-Invader/Nugget-Invader.ino", "C++", 68, 7, 21, 96
"/home/alex/Desktop/Nugget-Invader/WiFiScanner.cpp", "C++", 93, 71, 47, 211
"/home/alex/Desktop/Nugget-Invader/WiFiScanner.h", "C++", 22, 2, 8, 32
"Total", "-", 1439, 164, 268, 1871